City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,teguise,29.0605,-13.564,21.12,64,20,7.72,ES,1679938903
349,saskylakh,71.9167,114.0833,-21.41,97,100,5.71,RU,1679939395
350,whitehorse,60.7161,-135.0538,-8.28,78,75,1.03,CA,1679939390
351,rosita,13.9268,-84.4032,31.74,49,75,1.87,NI,1679939396
352,vicuna,-30.0319,-70.7081,30.98,40,0,3.92,CL,1679939276
353,napasar,27.9667,73.55,25.99,26,62,3.01,IN,1679939013
354,nizhniy tsasuchey,50.5167,115.1333,-3.04,86,14,1.97,RU,1679939396
355,masvingo,-20.0637,30.8277,15.92,97,100,5.73,ZW,1679939397
356,torbay,47.6666,-52.7314,2.54,93,100,6.69,CA,1679939141
357,goundam,16.4145,-3.6708,36.31,10,62,6.63,ML,1679939398
358,andra,62.5147,65.8878,-4.75,95,100,5.01,RU,1679939398
359,calama,-22.4667,-68.9333,24.27,29,20,9.26,CL,1679939398
360,oistins,13.0667,-59.5333,26.05,73,75,9.77,BB,1679939399
361,xuddur,4.1213,43.8894,30.6,40,98,2.42,SO,1679939400
362,kamenka,51.3223,42.7678,7.85,78,62,1.75,RU,1679939401
363,ahipara,-35.1667,173.1667,15.33,88,2,0.56,NZ,1679939402
